player_name,team,position,cap_hit,games_played,pass_yards,pass_tds,interceptions,rush_yards,rush_tds,rec_yards,rec_tds,fantasy_points,cap_hit_millions,value_score,fp_per_game
Lamar Jackson,BAL,QB,52000000,17,4172,41,4,399,36,0,0,578.8,52.0,11.13,34.05
Josh Allen,BUF,QB,43000000,17,3731,28,6,531,15,0,0,392.3,43.0,9.12,23.08
Joe Burrow,CIN,QB,55000000,16,4641,43,10,201,5,0,0,387.7,55.0,7.05,24.23
Jalen Hurts,PHI,QB,51000000,16,3903,36,6,605,14,0,0,432.6,51.0,8.48,27.04
Dak Prescott,DAL,QB,60000000,12,3276,20,10,93,3,0,0,218.3,60.0,3.64,18.19
Brock Purdy,SF,QB,5400000,17,4280,31,11,215,3,0,0,312.7,5.4,57.91,18.39
C.J. Stroud,HOU,QB,5400000,16,3848,23,12,83,2,0,0,242.2,5.4,44.85,15.14
Jordan Love,GB,QB,40000000,16,3724,25,11,212,3,0,0,266.2,40.0,6.65,16.64
Tua Tagovailoa,MIA,QB,53000000,10,2165,16,8,68,1,0,0,147.4,53.0,2.78,14.74
Sam Darnold,MIN,QB,10000000,16,4319,35,12,145,4,0,0,327.3,10.0,32.73,20.46
Baker Mayfield,TB,QB,30000000,17,4500,41,11,188,6,0,0,376.8,30.0,12.56,22.16
Geno Smith,SEA,QB,24000000,17,3750,20,8,134,2,0,0,239.4,24.0,9.98,14.08
Justin Herbert,LAC,QB,52500000,17,3870,23,10,175,3,0,0,262.3,52.5,5.0,15.43
Trevor Lawrence,JAX,QB,55000000,14,2622,15,10,92,1,0,0,160.1,55.0,2.91,11.44
Anthony Richardson,IND,QB,6000000,10,1814,16,8,523,6,0,0,208.9,6.0,34.82,20.89
Saquon Barkley,PHI,RB,13000000,17,0,0,0,2005,13,0,2,278.5,13.0,21.42,16.38
Derrick Henry,BAL,RB,4000000,16,0,0,0,1921,16,0,1,288.1,4.0,72.03,18.01
Bijan Robinson,ATL,RB,6100000,17,0,0,0,1456,11,0,5,211.6,6.1,34.69,12.45
De'Von Achane,MIA,RB,1000000,13,0,0,0,1207,8,0,4,168.7,1.0,168.7,12.98
Josh Jacobs,GB,RB,12000000,17,0,0,0,1329,11,0,3,198.9,12.0,16.58,11.7
Joe Mixon,HOU,RB,5000000,15,0,0,0,1039,9,0,4,157.9,5.0,31.58,10.53
Aaron Jones,MIN,RB,7000000,16,0,0,0,1014,5,0,3,131.4,7.0,18.77,8.21
Kyren Williams,LAR,RB,1200000,15,0,0,0,1100,12,0,6,182.0,1.2,151.67,12.13
Jahmyr Gibbs,DET,RB,4500000,16,0,0,0,1200,10,0,5,180.0,4.5,40.0,11.25
David Montgomery,DET,RB,7000000,16,0,0,0,900,8,0,3,138.0,7.0,19.71,8.62
Ja'Marr Chase,CIN,WR,28000000,17,0,0,0,0,0,1708,17,272.8,28.0,9.74,16.05
Justin Jefferson,MIN,WR,35000000,17,0,0,0,0,0,1533,12,225.3,35.0,6.44,13.25
CeeDee Lamb,DAL,WR,34000000,17,0,0,0,0,0,1194,12,191.4,34.0,5.63,11.26
Amon-Ra St. Brown,DET,WR,25000000,17,0,0,0,0,0,1263,11,192.3,25.0,7.69,11.31
Puka Nacua,LAR,WR,1000000,17,0,0,0,0,0,1025,8,150.5,1.0,150.5,8.85
Drake London,ATL,WR,3800000,17,0,0,0,0,0,1100,11,176.0,3.8,46.32,10.35
Malik Nabers,NYG,WR,1100000,16,0,0,0,0,0,1204,8,168.4,1.1,153.09,10.52
Ladd McConkey,LAC,WR,1000000,17,0,0,0,0,0,1000,8,148.0,1.0,148.0,8.71
Brian Thomas Jr.,JAX,WR,1000000,16,0,0,0,0,0,1100,10,170.0,1.0,170.0,10.62
Davante Adams,NYJ,WR,28000000,17,0,0,0,0,0,820,5,112.0,28.0,4.0,6.59
Stefon Diggs,NE/HOU,WR,23000000,9,0,0,0,0,0,420,3,60.0,23.0,2.61,6.67
Tyreek Hill,MIA,WR,30000000,17,0,0,0,0,0,959,9,149.9,30.0,5.0,8.82
Sam LaPorta,DET,TE,1000000,17,0,0,0,0,0,822,6,118.2,1.0,118.2,6.95
Travis Kelce,KC,TE,14250000,17,0,0,0,0,0,823,9,136.3,14.25,9.56,8.02
Brock Bowers,LV,TE,1050000,17,0,0,0,0,0,1194,5,149.4,1.05,142.29,8.79
Mark Andrews,BAL,TE,14000000,14,0,0,0,0,0,544,4,78.4,14.0,5.6,5.6
George Kittle,SF,TE,15000000,17,0,0,0,0,0,1106,10,170.6,15.0,11.37,10.04
Dallas Goedert,PHI,TE,17000000,12,0,0,0,0,0,688,6,104.8,17.0,6.16,8.73
